c11,c12,c22,p10_1,p20_1
-0.623077912110337,-0.6257533429582367,-0.5001417299308468,-1.6530870161999591,1.7538123643652714
-0.4244026896166073,-0.4212749270317259,-0.2492680501251848,-0.8096324995404856,2.595316955250134
-2.3421511887462625,-2.1362006626777275,-1.8758287657463721,-5.1755723490026115,-1.3985705296967588
-0.3710915101600461,-0.42111371246935714,-0.27107615022260917,-0.8430891012393362,2.599019682332327
-0.9288146587259377,-0.9672454507087612,-1.0009599819206652,-4.3656361693773205,-1.454417649158379
-0.18181230256040606,-0.3515638551638051,-0.27848458285427036,-1.3610901729297054,2.1139657577372692
-1.5454862820942883,-1.0689981426167965,-0.6363466226269915,-0.3468595488613511,3.1171480260743767
-0.34781404707884167,-0.4438470138203,-0.3530294219248172,-1.2878027341250127,2.0523584719043435
-0.6205450318131724,-0.49861273680209894,-0.27568850869718814,-0.45104055118177605,2.8644798475354367
-1.1188768264068516,-1.0917951233357681,-0.9756275341097435,-3.4141315615244476,0.13809226593370222
-1.2883420172879774,-0.732919995224478,-0.3025432311291,2.2226376451954417,4.26722639624082
-1.0358458264444481,-0.9310318871575931,-0.7578110791437148,-2.346601040513435,1.1067926951518898
-0.609331665068822,-0.5120967414780044,-0.2720040040540443,-0.08373600509202644,3.1020603907916815
-0.3431385732662091,-0.4232873076319476,-0.3493705374032324,-1.22287575202948,2.015592945094544
-0.3192973756075529,-0.3855754896853814,-0.31352228413453886,-1.285723930288292,1.9045021147374979
-0.6241373054528752,-0.6632188099668034,-0.5488195594250099,-1.4920555228217183,2.0434372790919673
-0.47824394870900094,-0.5402266932829443,-0.47272243991018087,-1.5314138860643673,1.6989064181713323
-1.2373408374380437,-1.176463995218266,-1.0237467436796601,-3.1458110196691558,0.3883740420575441
-0.4328418784749079,-0.3709196917618327,-0.1502268944928193,-0.005654555769534638,3.1778580422414366
-1.65456767481642,-1.585225387479615,-1.4600546544502642,-5.474735827803563,-1.9217603014917117
0.02455504067055847,-0.2529896417222334,-0.11444285953109862,-1.3334602052510574,2.39470239983725
-0.7845057861174582,-0.569391732348624,-0.2884480379831101,0.3102665060394184,3.2919092414414015
-0.5982306160946648,-0.5929685392877223,-0.4252906275930571,-1.2505629333498065,2.2174844297969174
-1.0340077548281812,-1.0174062008361493,-0.9685019626556922,-4.154424672739735,-0.8611329384105765
-5.661604750515173,-4.652346492610096,-3.7865909415922605,-11.169219291133942,-6.065395367256002
0.04153482157939341,-0.2449706235274862,-0.06952714624989047,-1.3661909237022993,2.650513026763143
-2.3536490113808592,-2.0361036629047855,-1.6745153831243955,-4.7223472291805,-0.6401603996127261
-0.8448345385036381,-0.8101786586949034,-0.7318177583250579,-3.1052726370946324,0.20134651066491277
-0.27547480874667357,-0.37208277990587607,-0.3403422221865403,-1.742577737842701,1.5248912685114437
-7.0659079315568745,-4.081080227370705,-2.259551475265375,8.673945770318788,8.080149490402716
-0.38637262668089284,-0.4305607735813725,-0.3361054188282564,-1.352746101381961,1.9680445053348652
-1.2264562186024683,-1.1435026126278889,-0.9836607441686693,-2.385278384781123,0.9536037453543714
-0.3750657931889262,-0.42879409545327757,-0.2904722334842868,-0.9409662483558107,2.4310627273325105
-0.3414587536335504,-0.4228667240532415,-0.315173728352423,-1.3676078669674905,2.1714564965704772
-0.3035905308937623,-0.4286634822607349,-0.36577142165997734,-1.5173035430234652,1.820641063492418
-0.2536154685960534,-0.37697827057036815,-0.2828764083954411,-1.3726721871230587,2.112985371010792
-0.37267570862371696,-0.4086829949927968,-0.2287757987903144,-0.740767399898053,2.7510588324493708
-0.3603593223118415,-0.46993444088133024,-0.39008359888381533,-1.395202068553175,2.0090199550305425
-0.2410198134746743,-0.3189060011564105,-0.161796876238904,-0.8241225672712303,2.6419820375246617
-0.5429709036936785,-0.49231874105319773,-0.29576761084363706,-0.6841275634896492,2.631395505212658
-5.957264397638615,-5.080179929372784,-4.311831519168042,-14.66937959193561,-9.471017354354283
-0.30933127442788505,-0.3926359010696913,-0.2665837300936405,-1.0791637654984918,2.4239630661511176
-1.066805862524501,-0.99909621006132,-0.7934436453806588,-1.8832314666118832,1.7448238343983784
-0.4125455074892968,-0.4669453684070247,-0.3972355005924593,-1.6492415735238486,1.7528694013085513
-4.380007701024599,-4.263549650960825,-4.096585610494112,-14.930860950957031,-11.221014309086856
-1.2265299243611762,-1.0306417371872691,-0.771669315580224,-1.5060576582927574,1.9426317671947846
-3.7855291536185325,-3.44931784032149,-3.0698804286172927,-7.6854099884771445,-3.692928501407048
-0.36092610689187643,-0.4005316686924233,-0.2821477994666449,-1.0260664870899434,2.154179902644329
-0.6938016354913668,-0.6023395411101484,-0.38479433412119596,-0.650246755096189,2.755252982318017
-1.4378277852467303,-1.3365984266722253,-1.1329406090734586,-2.513274003430894,1.0126630618737504
-1.3798143504572569,-1.0695672068550304,-0.7437968725276167,-1.9138126427454443,1.8657073256981314
-0.21083594286546076,-0.3467856867433647,-0.28579709722920327,-1.4406259673249389,1.9808724893116199
-0.17653044415569752,-0.3114735751661964,-0.2432476677566452,-1.4422986452304112,2.0165706628681224
-0.38956680423173157,-0.43815472123435045,-0.30361692083728375,-0.9436969024965551,2.376331816366679
-1.9787720506161672,-1.7560007813061207,-1.4706209757708661,-3.13055533703315,0.45007074895708893
-1.35901284334768,-1.1091892222443063,-0.7962072635654178,-1.426549066430886,2.14144487457317
-0.7275981043728317,-0.7252026524549195,-0.5833703738845958,-1.5937495022771093,1.8929148374218694
-0.5843912094624515,-0.4314506585560069,-0.1790857835280969,-0.12040375641560445,3.2084830134561524
-0.12509296130532926,-0.27215459330286446,-0.10279514939454652,-1.0160660947981386,2.714788422408539
-0.4322989766748594,-0.4638537190571389,-0.34205922594549243,-1.2025246613083467,2.166103255316854
